"Exness","Symbol","Timestamp","Bid","Ask"
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:10.374Z",102095.39,102095.39
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:10.431Z",102092.77,102092.77
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:16.098Z",102090.92,102090.92
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:16.112Z",102093.69,102093.69
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:16.160Z",102096.13,102096.13
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:16.965Z",102098.65,102098.65
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:16.989Z",102103.1,102103.1
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:17.063Z",102105.45,102105.45
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:19.207Z",102106.49,102106.49
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:19.231Z",102104.04,102104.04
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:19.313Z",102101.15,102101.15
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:20.885Z",102100.1,102100.1
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:21.120Z",102096.71,102096.71
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:22.306Z",102093.89,102093.89
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:22.381Z",102091.6,102091.6
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:22.493Z",102088.0,102088.0
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:24.041Z",102088.01,102088.01
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:25.096Z",102090.2,102090.2
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:25.234Z",102093.68,102093.68
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:26.389Z",102094.34,102094.34
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:26.427Z",102097.98,102097.98
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:27.441Z",102095.9,102095.9
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:28.796Z",102099.21,102099.21
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:28.821Z",102102.83,102102.83
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:33.553Z",102105.36,102105.36
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:36.232Z",102109.29,102109.29
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:36.343Z",102112.14,102112.14
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:36.355Z",102114.9,102114.9
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:36.451Z",102117.61,102117.61
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:36.525Z",102120.96,102120.96
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:38.149Z",102117.04,102117.04
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:38.236Z",102120.95,102120.95
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:39.237Z",102123.7,102123.7
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:41.250Z",102125.55,102125.55
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:43.280Z",102123.47,102123.47
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:43.794Z",102123.65,102123.65
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:43.824Z",102126.64,102126.64
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:43.860Z",102131.34,102131.34
